alloy,Fe,Ni,Co,Cr,V,Cu,VEC,AR1,AR2,PE,Density,TermalC,MP,FI,SI,TI,M,TEC,TC,MS,MagS
,0.1010,0.6000,0.2990,0.0000,0.0000,0.0000,9.4919,135.5287,124.8943,1.8926,8796.2971,92.5065,1682.0276,746.7175,1701.8972,3300.4710,1.1035,12.3900,1019.3983,1.3731,0.0076
,0.5010,0.1000,0.3990,0.0000,0.0000,0.0000,8.5834,137.5712,124.4858,1.8572,8373.1642,88.8361,1462.2307,759.1928,1614.6877,3106.8234,1.8677,9.8900,1327.7855,2.3454,0.0204
,0.4540,0.1500,0.3960,0.0000,0.0000,0.0000,8.6797,137.3355,124.5329,1.8611,8421.9385,89.3366,1487.9436,757.9515,1623.8607,3127.7868,1.7891,9.9300,1319.7320,2.2910,0.0185
,0.4240,0.1800,0.3960,0.0000,0.0000,0.0000,8.7396,137.1844,124.5631,1.8635,8453.1718,89.6742,1504.4921,757.1997,1629.5417,3140.9129,1.7408,9.9400,1315.3477,2.2541,0.0173
,0.4010,0.2000,0.3990,0.0000,0.0000,0.0000,8.7826,137.0683,124.5863,1.8652,8477.1523,89.9600,1517.3277,756.6902,1633.6003,3150.5228,1.7070,10.1700,819.0998,2.3583,0.0398
,0.3540,0.2500,0.3960,0.0000,0.0000,0.0000,8.8799,136.8302,124.6340,1.8691,8526.4152,90.4657,1543.2989,755.4367,1642.8638,3171.6939,1.6275,11.4900,889.2707,2.3040,0.0333
,0.3010,0.3000,0.3990,0.0000,0.0000,0.0000,8.9839,136.5603,124.6879,1.8733,8582.1866,91.0952,1572.9790,754.1625,1652.7033,3194.6619,1.5446,11.8400,957.6034,2.2009,0.0273
,0.2010,0.4000,0.3990,0.0000,0.0000,0.0000,9.1871,136.0472,124.7906,1.8814,8688.2830,92.2419,1629.1932,751.6091,1671.9994,3239.2473,1.3806,12.2000,1047.6959,1.9065,0.0177
,0.1010,0.5000,0.3990,0.0000,0.0000,0.0000,9.3925,135.5289,124.8942,1.8897,8795.4579,93.4003,1685.9787,749.0298,1691.4917,3284.2858,1.2149,12.1500,1079.0548,1.5220,0.0105
,0.4020,0.1000,0.4980,0.0000,0.0000,0.0000,8.6833,137.0742,124.5852,1.8622,8475.1618,90.8196,1520.5627,758.9749,1623.2329,3134.2359,1.8175,9.6000,1370.3418,2.2901,0.0182
,0.3550,0.1500,0.4950,0.0000,0.0000,0.0000,8.7804,136.8360,124.6328,1.8661,8524.4372,91.3274,1546.5505,757.7263,1632.4752,3155.3762,1.7383,11.1000,1361.6393,2.2229,0.0163
,0.3020,0.2000,0.4980,0.0000,0.0000,0.0000,8.8841,136.5661,124.6868,1.8703,8580.2226,91.9595,1576.2497,756.4577,1642.2903,3178.3084,1.6556,11.7300,976.2306,2.2570,0.0350
,0.2020,0.3000,0.4980,0.0000,0.0000,0.0000,9.0870,136.0528,124.7894,1.8784,8686.3462,93.1110,1632.5000,753.9151,1661.5405,3222.8267,1.4920,12.1900,1082.3324,2.0022,0.0234
,0.1020,0.4000,0.4980,0.0000,0.0000,0.0000,9.2919,135.5343,124.8931,1.8866,8793.5488,94.2741,1689.3222,751.3466,1680.9864,3267.7976,1.3268,12.5100,1132.5771,1.6343,0.0143
,0.3020,0.1000,0.5980,0.0000,0.0000,0.0000,8.7854,136.5667,124.6867,1.8673,8579.3043,92.8447,1580.1214,758.7524,1631.9578,3162.2249,1.7661,11.4200,1400.6515,2.1897,0.0158
,0.2560,0.1500,0.5940,0.0000,0.0000,0.0000,8.8822,136.3311,124.7338,1.8711,8628.0417,93.3397,1605.7897,757.4988,1641.1826,3183.2632,1.6869,11.7200,1058.4793,2.1631,0.0371
,0.2020,0.2000,0.5980,0.0000,0.0000,0.0000,8.9878,136.0532,124.7894,1.8754,8685.4661,94.0012,1636.4140,756.2203,1651.1635,3206.6798,1.6031,11.9600,1117.4814,2.0377,0.0304
,0.1020,0.3000,0.5980,0.0000,0.0000,0.0000,9.1923,135.5345,124.8931,1.8836,8792.7078,95.1693,1693.2792,753.6625,1670.5645,3251.5869,1.4384,12.4700,1182.4096,1.7036,0.0194
,0.2530,0.0500,0.6970,0.0000,0.0000,0.0000,8.7862,136.3163,124.7367,1.8683,8630.2983,94.2894,1611.4903,759.7935,1631.0854,3167.9856,1.7962,11.4200,1431.3303,2.1406,0.0152
,0.2030,0.1000,0.6970,0.0000,0.0000,0.0000,8.8875,136.0588,124.7882,1.8724,8683.5268,94.8715,1639.7259,758.5297,1640.6894,3190.2354,1.7147,11.9100,1151.9196,2.0111,0.0392
,0.1030,0.2000,0.6970,0.0000,0.0000,0.0000,9.0915,135.5400,124.8920,1.8806,8790.7963,96.0445,1696.6279,755.9827,1660.0440,3235.0746,1.5505,12.4700,1228.2369,1.7348,0.0259
,0.0310,0.2200,0.7490,0.0000,0.0000,0.0000,9.1877,135.1631,124.9674,1.8850,8868.2853,97.3645,1740.0339,755.3428,1668.6578,3259.1770,1.4896,12.0600,1273.3065,1.4773,0.0213
,0.0110,0.2400,0.7490,0.0000,0.0000,0.0000,9.2290,135.0579,124.9884,1.8866,8890.0336,97.6028,1751.5728,754.8277,1672.5764,3268.2594,1.4563,12.4400,1273.2692,1.3982,0.0191
,0.1030,0.1000,0.7970,0.0000,0.0000,0.0000,8.9918,135.5402,124.8920,1.8776,8789.9535,96.9411,1700.5909,758.3023,1649.6057,3218.8383,1.6622,11.8500,1273.0183,1.7175,0.0338
,0.0410,0.1600,0.7990,0.0000,0.0000,0.0000,9.1170,135.2157,124.9569,1.8826,8857.0187,97.6955,1736.2687,756.7634,1661.4672,3246.5028,1.5622,12.2600,1297.0728,1.5194,0.0260
,0.0210,0.1800,0.7990,0.0000,0.0000,0.0000,9.1583,135.1106,124.9779,1.8843,8878.7488,97.9341,1747.8002,756.2498,1665.3772,3255.5695,1.5290,12.8100,1306.3259,1.3930,0.0113
,0.0510,0.1000,0.8490,0.0000,0.0000,0.0000,9.0464,135.2682,124.9464,1.8803,8845.7590,98.0263,1732.5059,758.1831,1654.2810,3233.8364,1.6347,12.0700,1318.6173,1.5461,0.0312
,0.0210,0.1300,0.8490,0.0000,0.0000,0.0000,9.1082,135.1106,124.9779,1.8828,8878.3435,98.3847,1749.8009,757.4148,1660.1362,3247.4198,1.5851,12.7200,1330.4210,1.3986,0.0141
,0.0510,0.0500,0.8990,0.0000,0.0000,0.0000,8.9964,135.2683,124.9463,1.8788,8845.3475,98.4764,1734.5007,759.3468,1649.0446,3225.6931,1.6908,11.9800,1341.7533,1.5282,0.0357
,0.0310,0.0700,0.8990,0.0000,0.0000,0.0000,9.0375,135.1632,124.9674,1.8805,8867.0634,98.7157,1746.0293,758.8360,1652.9415,3234.7376,1.6578,12.5500,1357.4435,1.4119,0.0184
,0.0310,0.0200,0.9490,0.0000,0.0000,0.0000,8.9874,135.1633,124.9673,1.8790,8866.6558,99.1665,1748.0294,760.0013,1647.6985,3226.5844,1.7139,12.2200,1382.7997,1.4052,0.0219
Fe-Co-Cr,0.2000,0.0000,0.7500,0.0500,0.0000,0.0000,8.6256,136.3153,124.7926,1.8696,8589.2229,95.5183,1669.2082,754.8416,1627.4645,3161.6370,1.6945,10.6500,966.0608,1.6264,0.0559
,0.2500,0.0000,0.7000,0.0500,0.0000,0.0000,8.5749,136.5703,124.7415,1.8671,8537.0154,94.4963,1639.1249,754.9637,1623.1051,3147.6147,1.7204,9.7200,892.4693,1.7072,0.0581
,0.3000,0.0000,0.6500,0.0500,0.0000,0.0000,8.5245,136.8239,124.6906,1.8645,8485.0901,93.4799,1609.2042,755.0852,1618.7692,3133.6682,1.7462,9.6100,811.9374,1.7607,0.0595
,0.3500,0.0000,0.6000,0.0500,0.0000,0.0000,8.4743,137.0761,124.6400,1.8620,8433.4446,92.4689,1579.4448,755.2059,1614.4567,3119.7969,1.7719,9.5600,725.9512,1.7816,0.0607
,0.4000,0.0000,0.5500,0.0500,0.0000,0.0000,8.4244,137.3270,124.5897,1.8595,8382.0766,91.4634,1549.8453,755.3261,1610.1674,3106.0001,1.7974,9.5400,635.9509,1.7652,0.0619
,0.2800,0.0000,0.6450,0.0750,0.0000,0.0000,8.4632,136.8552,124.7119,1.8656,8458.4778,93.7399,1633.0147,752.0829,1618.9972,3132.7653,1.6718,8.1900,740.2012,1.5881,0.0572
,0.3000,0.0000,0.6250,0.0750,0.0000,0.0000,8.4432,136.9560,124.6916,1.8646,8437.8598,93.3354,1621.0919,752.1345,1617.2729,3127.2208,1.6821,7.3900,708.3146,1.6009,0.0575
,0.3200,0.0000,0.6050,0.0750,0.0000,0.0000,8.4233,137.0565,124.6714,1.8636,8417.2861,92.9319,1609.1947,752.1859,1615.5523,3121.6883,1.6924,7.3400,675.6122,1.6084,0.0576
,0.3400,0.0000,0.5850,0.0750,0.0000,0.0000,8.4034,137.1569,124.6512,1.8626,8396.7567,92.5292,1597.3232,752.2372,1613.8354,3116.1676,1.7027,7.5000,642.1856,1.6102,0.0579
,0.3600,0.0000,0.5650,0.0750,0.0000,0.0000,8.3835,137.2570,124.6311,1.8616,8376.2713,92.1273,1585.4771,752.2883,1612.1222,3110.6588,1.7130,8.8000,608.1254,1.6060,0.0581
,0.3800,0.0000,0.5450,0.0750,0.0000,0.0000,8.3637,137.3570,124.6111,1.8606,8355.8299,91.7264,1573.6564,752.3394,1610.4127,3105.1618,1.7232,9.2300,573.5208,1.5956,0.0584
,0.4050,0.0000,0.5200,0.0750,0.0000,0.0000,8.3390,137.4816,124.5860,1.8593,8330.3397,91.2263,1558.9162,752.4031,1608.2809,3098.3072,1.7360,9.0500,529.6338,1.5732,0.0590
,0.4300,0.0000,0.4950,0.0750,0.0000,0.0000,8.3144,137.6059,124.5611,1.8581,8304.9177,90.7277,1544.2154,752.4666,1606.1549,3091.4708,1.7487,9.4000,485.2040,1.5400,0.0596
,0.3450,0.0000,0.5750,0.0800,0.0000,0.0000,8.3823,137.2081,124.6464,1.8623,8382.2746,92.4005,1596.7391,751.6635,1613.1119,3113.5160,1.6925,3.7900,613.9626,1.5755,0.0573
